offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513012,12,false,2,75,75,1,40,2,66,66,0,48,0,52,3,9,PUNT,false,17,3,17,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513013,13,false,2,20,80,0,48,2,24,76,0,0,0,48,4,4,DOWNS,true,3,17,3,17
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513014,14,true,3,75,75,15,0,3,0,0,14,43,0,17,2,75,TD,false,17,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513015,15,false,3,14,86,14,36,3,21,79,13,12,1,24,3,7,PUNT,true,3,24,3,24
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513016,16,false,3,63,63,13,12,3,58,58,12,14,0,58,3,5,PUNT,false,24,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513017,17,false,3,20,80,12,14,3,56,44,7,21,4,53,10,36,PUNT,true,3,24,3,24
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513018,18,false,3,89,89,7,21,3,84,84,5,13,2,8,3,5,PUNT,false,24,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513019,19,false,3,55,45,5,13,3,62,38,3,27,1,46,5,7,DOWNS,true,3,24,3,24
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513020,20,false,3,62,62,3,27,3,50,50,0,0,3,27,5,12,PUNT,false,24,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513021,21,false,4,17,83,15,0,4,37,63,12,25,2,35,7,20,PUNT,true,3,24,3,24
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513022,22,false,4,68,68,12,25,4,70,70,10,13,2,12,3,-2,PUNT,false,24,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513023,23,false,4,20,80,10,13,4,28,72,8,56,1,17,4,8,DOWNS,true,3,24,3,24
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513024,24,false,4,28,28,8,56,4,26,26,7,31,1,25,4,2,MISSED FG,false,24,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513025,25,false,4,26,74,7,31,4,20,80,4,44,2,47,5,-6,PUNT,true,3,24,3,24
Iowa,Big Ten,Purdue,Big Ten,401405130,40140513026,26,false,4,67,67,4,44,4,56,56,2,31,2,13,4,11,PUNT,false,24,3,24,3
Purdue,Big Ten,Iowa,Big Ten,401405130,40140513027,27,false,4,20,80,2,31,4,30,70,0,0,2,31,5,10,END OF GAME,true,3,24,3,24
Iowa,Big Ten,Wisconsin,Big Ten,401405135,4014051351,1,false,1,25,75,15,0,1,20,80,13,5,1,55,3,-5,PUNT,true,0,0,0,0
Wisconsin,Big Ten,Iowa,Big Ten,401405135,4014051352,2,false,1,63,63,13,5,1,61,61,12,10,0,55,3,2,PUNT,false,0,0,0,0
Iowa,Big Ten,Wisconsin,Big Ten,401405135,4014051353,3,false,1,12,88,12,10,1,51,49,9,15,2,55,8,39,FUMBLE,true,0,0,0,0
Wisconsin,Big Ten,Iowa,Big Ten,401405135,4014051354,4,true,1,51,51,9,15,1,14,14,4,14,5,1,10,37,FG,false,0,0,3,0
Iowa,Big Ten,Wisconsin,Big Ten,401405135,4014051355,5,false,1,25,75,4,14,1,25,75,0,35,3,39,6,0,PUNT,true,0,3,0,3
Wisconsin,Big Ten,Iowa,Big Ten,401405135,4014051356,6,false,1,60,60,0,35,2,59,59,14,39,0,56,3,1,PUNT,false,3,0,3,0
Iowa,Big Ten,Wisconsin,Big Ten,401405135,4014051357,7,false,2,33,67,14,39,2,39,61,11,52,2,47,5,6,PUNT,true,0,3,0,3
Wisconsin,Big Ten,Iowa,Big Ten,401405135,4014051358,8,false,2,80,80,11,52,2,81,81,10,52,1,0,3,-1,PUNT,false,3,0,3,0
Iowa,Big Ten,Wisconsin,Big Ten,401405135,4014051359,9,true,2,83,17,10,52,2,100,0,10,24,0,28,2,17,TD,true,0,3,7,3
